像平常的你一样引发奇迹吧。,
微笑一下试试？,
态度决定一切。,
正义之子面对有悖常理的世界，会让世界天翻地覆,
A man chooses;a slave obeys.,
Requiescat in pace.,
"你驻足于春色中,于那独一无二的春色之中.",
"我会全力开辟出如你所愿的未来,就算和恶魔契约,也在所不惜。",
从我学会奔跑的那天开始，我就不停地向前奔跑，因为我不敢回头，怕看见的，是你眼角的失望……,秦时明月
时间飞快的流逝，唯独现在，我有一种想对爱因斯坦发牢骚的心情，冈部，时间根据每个人的主观感受，既会变长，也会变短，相对论真是既浪漫又伤感的东西呢。,命运石之门
平庸将你的心灵烘干到没有一丝水分，然后荣光才会拨动你心灵最深处的弦。——《百年孤独》,百年孤独
以智者之名，为愚者代辩。,gosick
保持冷静继续前行——英国二战时期海报,英国二战时期海报
看起来是几何问题，实际上是函数问题。,嫌疑人x的献身
每当心情郁闷的时候用手托腮就好，手臂会因为帮上忙而开心的。,四月是你的谎言
莫扎特曾经说过大胆地踏上旅途吧，我不知道路途的前方究竟有什么，但我们仍迈出了步伐，我们仍在旅途之中。,四月是你的谎言
卑鄙是卑鄙者的通行证，高尚是高尚者的墓志铭。,回答
不要温和地走进那个良夜，老年应当在日暮时燃烧咆哮，怒斥，怒斥光明的消逝。——《不要温和地走进那个良夜》,不要温和地走进那个良夜
因为憧憬，所以无法超越。——《黑子的篮球》,黑子的篮球
每个令人惊叹的魔术背后都有一只冤死的小鸟。——《致命魔术》,致命魔术
失去人性，失去很多；失去兽性，失去一切。——《三体》,三体
笑完了，又能怎么样呢？,星空日记
凡人们绝对信服圣人的圣言而又不真心实意实行，这并不是圣人的悲剧，而是凡人永远成不了圣人的缘故。,白鹿原
朋友之交，宜得删繁就简。,白鹿原
天下无心外之物，如此花树在深山中自开自落，于我心亦何相关？,王阳明
"Tomorrow,there will be no shortage of volunteers,no shortage of patriots.",使命召唤
"我们都是阴沟里的虫子,但总还是得有人仰望星空。",三体
"Beneath this mask there is more than flesh,thoughts, and ideas are bulletproof.",V字仇杀队
"Sure it matters who`s got the biggest stick, but it matters a helluva lot more who’s swinging it.",使命召唤
没有脚踏实地建立起来的东西，就无法形成精神和物质上的支撑。,时生
梦总是突然醒的，就像泡沫一般，越吹越大，最后啪地破灭，什么也没有，除了空虚。,时生
世上有两样东西不可直视，一是太阳，二是人心。——《白夜行》,白夜行
这个世上没有无用的齿轮，也只有齿轮本身能决定自己的用途。,嫌疑人x的献身
"逻辑的尽头,不是理性与秩序的理想国。——《嫌疑人x的献身》",嫌疑人x的献身
有些真相注定是要小心翼翼深埋心底的，因为答案揭晓的那一刻，也是灰飞烟灭的开始。,嫌疑人x的献身
螃蟹在剥我的壳，笔记本在写我。漫天的我落在枫叶上雪花上。而你在想我。,三句情诗
总有一种味道，以其独有的方式，每天三次，在舌尖上提醒着我们——认清明天的去向，不忘昨日的来处,舌尖上的中国
光明只是短暂的一瞬，黑暗才是永恒的，但正是这短暂一瞬的光芒，诞生了生命与希望。,藏地密码
国王不动，手下怎么跟随？,反叛的鲁鲁修
善良人在追求中纵然迷惘，却终将意识到有一条正途。——《浮士德》,浮士德
一个人并不是生来要被打败的，你尽可以把他消灭掉，可就是打不败他。——《老人与海》,老人与海
人一定要受过伤才会沉默专注，无论是心灵或肉体上的创伤，对成长都有益处。——《花解语》,
有能力的人影响别人，没能力的人受人影响。——《喜宝》,
无论做什么，记得为自己而做，那就毫无怨言。——《流金岁月》,
要生活得漂亮，需要付出极大忍耐，一不抱怨，二不解释，绝对是个人才。——《变形记》,
每个人的内心都是一座尸横遍野的战场。——尼采,
枝叶繁多，根却只有一条。在青春说谎的日子里，我在阳光下招摇，如今我萎缩成真理。——《随时间而来的智慧》,
给生命以时间，而不是给时间以生命。——《思想录》,
照我思索，可理解我，照我思索，可以得人。——《沈从文墓志铭》,
追求真理本身就是一种幸福。 ——《啤酒谋杀案》,
我们往往把自己的性格和人品说得言过其实了。如果真理被冷酷无情地揭示出来时，我们反倒不能明辨是非了。 ——《三幕悲剧》,
他们一旦抱有某种成见，那一切查证就得符合这一成见，如果某个细节不合，他们就会把它扔到一边，但是能解答问题的线索，偏偏总是不符合那些成见。 ——《尼罗河上的惨案》,
万事皆有因。——《神探伽利略》,
失去了很多东西，才发现自己并非一无所有 。——《神的记事本》,
我喜欢夜晚。没有黑暗，我们永远都看不见星星。 ——《暮光之城》,
总有一天，我会撕去这虚假的星空 。——《黑之契约者》,
"无意义的理想,迟早会在现实面前崩溃。——《fate zero》",
笑是对身边的事物感到一瞬间的幸福而表现出来的东西。 ——《Clannad》,
真正重要的东西，永远都是非常简单的。 ——《Clannad》,
无知而又纯洁的岁月，是任何人都曾拥有的。 ——《Clannad》,
人生在外一定会遭遇到各种各样的事物，但等到恰当的时机，又会像潮汐一样承载着各种各样的收获回到我们身边，像大海一样有着宽广的温柔。 ——《Clannad》,
最初的一步，泪水之后再一次，雕刻的风景线，消逝在黄昏中的风，直到梦的最后。 ——《Clannad》,
望天上云卷云舒，斗转星移，梦醒后，今日也要，迈出前进的步伐。 ——《Charlotte》,
就算是对我抱有敌意的人，也是被某个人深爱着而降生在这个世界上的。 ——《罪恶王冠》,
每个人都有一个觉醒期，但觉醒的早晚决定个人的命运。 ——《平凡的世界》,
在这个世界上，不是所有合理的和美好的都能按照自己的愿望存在或实现。 ——《平凡的世界》,
命运总是不如人愿。但往往是在无数的痛苦中，在重重的矛盾和艰辛中，才使人成熟起来。 ——《平凡的世界》,
许多年过去了，人们说陈年旧事可以被埋葬，然而我终于明白这是错的，因为往事会自行爬上来。 ——《追风筝的人》,
我不是因为需要你们评论几句才去当英雄的，而是因为我想去当所以我才当的。 ——《一拳超人》,
无限大な梦のあとの 何もない世の中じゃ——《数码宝贝》,
"Oh,please don&#39;t let me die. Waiting for your touch.",Re：从零开始的异世界生活
没有什么能够阻挡，你对自由的向往。,许巍-《蓝莲花》
谁画出这天地  又画下我和你。,许巍 《旅行》
如今我对自己故乡，像来往匆匆的过客。,许巍《家》
心中那自由的世界是如此的清澈高远。,许巍 《蓝莲花》
曾梦想仗剑走天涯，看一看世界的繁华,许巍 《曾经的你》
拥抱着亲人的时候，多希望时间就停止。,许巍 《家》
当往事悄然走远，只留下清澈的心。,许巍 《漫步》
很多事来不及思考，就这样自然的发生了，在丰富多彩的路上，注定经历风雨。,许巍 《漫步》
每一次难过的时候，就独自看一看大海。,许巍 《曾经的你》
你的笑容怡人如晚霞般，在川流不息的时光中，神采飞扬。,许巍 《时光》
爱情像鲜花它总不开放，欲望像野草一样疯狂地生长。,许巍 《在别处》
你是记忆中最美的春天，是我难以再回去的昨天。,许巍 《时光》
我是永远向着远方独行的浪子，你是茫茫人海之中我的女人。,许巍 《故乡》
我想超越这平凡的生活，注定现在暂时漂泊。,许巍 《执着》
我从远方赶来，恰巧你们也在。,朴树《生如夏花》
有些故事，还没讲完，那就算了吧。  那些心情，在岁月中，已经难辨真假。,朴树 《那些花儿》
如今这里荒草丛生没有了鲜花，好在曾今拥有你们的春秋和冬夏。,朴树 《那些花儿》
这是一个多美丽又遗憾的世界  我们就这样抱着笑着还流着泪。,朴树 《生如夏花》
惊鸿一般短暂，如夏花一样绚烂。,朴树 《生如夏花》
易碎的 骄傲着  那也曾是我的模样。,朴树 《平凡之路》
故事你真的在听吗。,朴树《平凡之路》
我曾经失落失望失掉所有方向，直到看见平凡才是唯一的答案。,朴树《平凡之路》
向前走 就这么走 就算你被给过什么  向前走 就这么走 就算你被夺走什么  向前走 就这么走 就算你会错过什么,朴树 《平凡之路》
他们都老了吧，他们在哪里啊？我们就这样各自奔天涯。,朴树 《那些花儿》
他们在别有用心的生活里翩翩舞蹈  你在我后半生的城市里长生不老,——宋东野《鸽子》
当你装满行李回到故乡 我的余生却再也没有北方,——宋东野《关忆北》
爱上一匹野马，可我的家里没有草原，所以我感到绝望。,——宋东野《董小姐》
站在你翻山越岭的尽头正当年少,——宋东野《鸽子》
斑马斑马，你回到了你的家，可我浪费着我寒冷的年华。,——宋东野《斑马斑马》
鼓楼的夜晚时间匆匆  陌生的人 请给我一只兰州,——宋东野《董小姐》
生活越来越压抑 你变得越来越不像自己 玫瑰你在哪里 你总是喜欢抓不住的东西,——贰佰《玫瑰》
纵然相伴再久，情深亦无尽头。 山樱开似玉，闲适若春霞。 见花如见君，虽久不知足。,有你的小镇
有一个夜晚我烧毁了所有的记忆，从此我的梦就透明了；有一个早晨我扔掉了所有的昨天，从此我的脚步就轻盈了 。,泰戈尔
一生石,大帅哥
充满污秽是悲伤，无所寄托无所期待，充满污秽的悲伤，倦怠时梦想死去。,《文学少女》
